date,open,high,low,close,adj_close,volume,currency
,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,
2023-01-26,39.01634216308594,39.728973388671875,37.412933349609375,38.12556076049805,37.01216506958008,20567429,BRL
2023-01-27,38.39279556274414,40.79791259765625,38.214637756347656,40.35251998901367,39.17409133911133,16590877,BRL
2023-01-30,40.88698959350586,41.42146301269531,38.12556076049805,38.83818817138672,37.703983306884766,17386748,BRL
2023-01-31,39.10542297363281,39.99620819091797,38.39279556274414,39.46173858642578,38.309322357177734,12478893,BRL
2023-02-01,39.19449996948242,39.372657775878906,37.056617736816406,38.214637756347656,37.09864044189453,16141778,BRL
2023-02-02,38.03648376464844,40.44160079956055,37.68016815185547,38.660030364990234,37.531028747558594,16556480,BRL
2023-02-03,38.92726516723633,39.01634216308594,37.323856353759766,38.03648376464844,36.925689697265625,12768166,BRL
2023-02-06,38.03648376464844,38.92726516723633,36.43307113647461,36.78938293457031,35.71500778198242,11772504,BRL
2023-02-07,37.14569854736328,37.68016815185547,34.56242370605469,36.07675552368164,35.023193359375,18836741,BRL
2023-02-08,36.61122512817383,37.68016815185547,35.72044372558594,37.59109115600586,36.49330520629883,16178644,BRL
2023-02-09,37.59109115600586,38.660030364990234,36.07675552368164,36.61122512817383,35.54205322265625,14366926,BRL
2023-02-10,36.165836334228516,36.87846374511719,35.27505111694336,35.54228591918945,34.50433349609375,13250123,BRL
2023-02-13,35.54228591918945,37.412933349609375,34.82965850830078,36.78938293457031,35.71500778198242,13258846,BRL
2023-02-14,36.9675407409668,37.59109115600586,35.72044372558594,36.165836334228516,35.10967254638672,12938477,BRL
2023-02-15,35.98767852783203,36.343990325927734,34.11703109741211,34.6515007019043,33.63956069946289,22616085,BRL
2023-02-16,34.6515007019043,35.096893310546875,33.048091888427734,33.938873291015625,32.9477424621582,17057117,BRL
2023-02-17,33.40440368652344,33.849796295166016,32.42454147338867,32.602699279785156,31.650590896606445,10486962,BRL
2023-02-22,32.06822967529297,32.06822967529297,30.732051849365234,31.355600357055664,30.439910888671875,8192714,BRL
2023-02-23,31.444679260253906,32.691776275634766,31.08836555480957,31.7119140625,30.78582000732422,9395879,BRL
2023-02-24,32.602699279785156,34.47334671020508,31.800992965698242,32.15730667114258,31.218204498291016,14331059,BRL
2023-02-27,32.86993408203125,33.58256149291992,31.979150772094727,32.51361846923828,31.564111709594727,11458006,BRL
2023-02-28,32.602699279785156,33.31532669067383,31.979150772094727,31.979150772094727,31.045251846313477,8025726,BRL
2023-03-01,32.42454147338867,32.51361846923828,28.68324851989746,28.772327423095703,27.932079315185547,15686684,BRL
2023-03-02,28.861404418945312,29.30679702758789,27.703386306762695,28.05970001220703,27.240262985229492,10613592,BRL
2023-03-03,28.148778915405273,28.326934814453125,26.723522186279297,26.90167999267578,26.116060256958008,13259306,BRL
2023-03-06,27.079837799072266,28.950483322143555,26.18905258178711,28.416013717651367,27.586170196533203,15809486,BRL
2023-03-07,28.416013717651367,29.039562225341797,27.881542205810547,28.68324851989746,27.84560203552246,9669267,BRL
2023-03-08,28.59416961669922,31.53375816345215,28.416013717651367,30.553895950317383,29.661619186401367,17377599,BRL
2023-03-09,30.286659240722656,31.800992965698242,29.93034553527832,30.197582244873047,29.315711975097656,11829151,BRL
2023-03-10,28.237855911254883,30.46481704711914,26.723522186279297,30.286659240722656,29.40218734741211,27150685,BRL
2023-03-13,29.93034553527832,34.20610809326172,29.663110733032227,33.137168884277344,32.16945266723633,21301064,BRL
2023-03-14,33.137168884277344,34.56242370605469,32.691776275634766,33.22624969482422,32.25593185424805,14465704,BRL
2023-03-15,32.51361846923828,34.56242370605469,31.800992965698242,33.938873291015625,32.9477424621582,15085169,BRL
2023-03-16,34.295188903808594,35.54228591918945,34.20610809326172,34.6515007019043,33.63956069946289,11168508,BRL
